word,surprise,anger,sadness,happy,fear
cast ,0.024725277,0.030219782,0.019230772,0.030219782,0.046703298
categories ,3.52E-06,3.52E-06,3.52E-06,1.76E-05,3.52E-06
caused ,0.016741073,0.03013393,0.0390625,0.016741073,0.021205358
cc ,0.035714287,0.035714287,0.107142866,0.035714287,0.035714287
cent ,0.017857144,0.017857144,0.017857144,0.08928572,0.053571433
centers ,0.035714287,0.035714287,0.107142866,0.035714287,0.035714287
certainly ,0.02688172,0.0437788,0.02841782,0.031490017,0.014592934
ch ,0.107142866,0.035714287,0.035714287,0.035714287,0.035714287
chain ,0.015306124,0.025510205,0.035714287,0.025510205,0.035714287
chairman ,0.026785716,0.08035715,0.008928572,0.04464286,0.008928572
challenge ,0.036340855,0.013784462,0.02631579,0.03884712,0.02631579
changes ,1.15E-04,4.65E-05,5.14E-05,6.12E-05,1.83E-04
changing ,0.05952381,0.005102041,0.018707484,0.022108845,0.04251701
charges ,0.021428574,0.007142858,0.021428574,0.107142866,0.007142858
chart ,0.011904763,0.035714287,0.011904763,0.05952381,0.05952381
cheap ,0.017857144,0.03214286,0.039285716,0.03214286,0.025
checkout ,0.023809526,0.11904762,0.023809526,0.023809526,0.023809526
chemical ,0.039682545,0.039682545,0.023809526,0.007936508,0.023809526
christ ,0.018907566,0.00210084,0.003501401,0.107142866,0.013305323
circuit ,0.071428575,0.023809526,0.071428575,0.023809526,0.023809526
claim ,0.025,0.010714287,0.03214286,0.025,0.06071429
claims ,0.01948052,0.01948052,0.01948052,0.032467537,0.05844156
classical ,0.035714287,0.011904763,0.011904763,0.107142866,0.011904763
clean ,0.018339768,0.035714287,0.035714287,0.020270271,0.014478765
cleaning ,0.02922078,0.02922078,0.02922078,0.02922078,0.035714287
clear ,0.029591838,0.029591838,0.02346939,0.031632654,0.027551021
clearly ,0.036388144,0.033692725,0.014824798,0.028301887,0.033692725
clip ,0.08928572,0.017857144,0.017857144,0.053571433,0.017857144
clips ,0.053571433,0.017857144,0.053571433,0.053571433,0.017857144
clock ,0.038461544,0.049450554,0.02747253,0.016483517,0.02747253
close ,8.10E-05,1.52E-04,1.77E-04,3.41E-04,1.38E-04
closed ,0.009792628,0.08237328,0.019009218,0.015552996,0.017857144
clothes ,0.03182461,0.030410185,0.024752475,0.02758133,0.020509195
club ,3.45E-05,3.45E-05,2.82E-05,2.82E-05,2.19E-05
clubs ,0.026785716,0.08035715,0.026785716,0.008928572,0.026785716
cm ,0.08928572,0.017857144,0.017857144,0.017857144,0.053571433
coast ,0.019841272,0.011904763,0.02777778,0.043650795,0.035714287
cock ,0.05555556,0.023809526,0.007936508,0.05555556,0.023809526
cold ,0.015337424,0.053900097,0.039000876,0.010955303,0.019719545
collectibles ,0.107142866,0.035714287,0.035714287,0.035714287,0.035714287
colors ,0.0487013,0.022727275,0.022727275,0.035714287,0.022727275
colour ,0.020737328,0.002304148,0.025345622,0.071428575,0.029953917
column ,0.091836736,0.010204082,0.010204082,0.030612247,0.010204082
combination ,0.05172414,0.022167487,0.022167487,0.027093597,0.027093597
combined ,0.05952381,0.011904763,0.05952381,0.035714287,0.011904763
comfort ,0.007174049,0.005926388,0.009045539,0.10761073,0.012788522
comics ,0.04464286,0.04464286,0.008928572,0.04464286,0.026785716
common ,6.25E-05,6.25E-05,4.46E-05,5.06E-05,2.08E-05
companies ,5.73E-05,1.01E-05,1.01E-05,3.37E-06,1.01E-05
compared ,0.043233085,0.035714287,0.028195491,0.020676693,0.020676693
comparison ,0.038461544,0.038461544,0.049450554,0.005494506,0.02747253
compatible ,0.003296704,0.001098901,0.003296704,0.13736264,0.001098901
competition ,0.011904763,0.030952383,0.011904763,0.08809524,0.007142858
complete ,9.98E-05,4.35E-05,1.05E-04,7.94E-05,7.94E-05
completely ,0.028760467,0.012287336,0.055495545,0.016608156,0.02768026
complex ,0.033834588,0.033834588,0.011278195,0.018796993,0.041353386
computing ,0.071428575,0.023809526,0.023809526,0.023809526,0.071428575
con ,0.071428575,0.014285715,0.042857148,0.042857148,0.014285715
concept ,0.065476194,0.029761905,0.005952382,0.005952382,0.053571433
concerns ,0.046428572,0.010714287,0.025,0.010714287,0.06071429
